title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"Miss Detection vs. False Alarm: Adversarial Learning for Small Object Segmentation in Infrared Images",2019,ICCV,https://openaccess.thecvf.com/content_ICCV_2019/html/Wang_Miss_Detection_vs._False_Alarm_Adversarial_Learning_for_Small_Object_ICCV_2019_paper.html,pure method,5,4,4,Risk,"Direct IRSTD miss-detection versus false-alarm problem prior; different adversarial mechanism","Official CVF proceedings; multi-dataset experimental study"
"Self-Supervised Difference Detection for Weakly-Supervised Semantic Segmentation",2019,ICCV,https://openaccess.thecvf.com/content_ICCV_2019/html/Shimoda_Self-Supervised_Difference_Detection_for_Weakly-Supervised_Semantic_Segmentation_ICCV_2019_paper.html,pure method,4,4,4,Risk,"Before/after mask-difference prediction prior; no same-source coverage intervention","Official CVF proceedings; clear method and benchmark evaluation"
"CascadePSP: Toward Class-Agnostic and Very High-Resolution Segmentation via Global and Local Refinement",2020,CVPR,https://openaccess.thecvf.com/content_CVPR_2020/html/Cheng_CascadePSP_Toward_Class-Agnostic_and_Very_High-Resolution_Segmentation_via_Global_and_CVPR_2020_paper.html,pure method,4,4,4,Risk,"Class-agnostic refiner appended to existing segmentation; focuses on detail and boundaries","Official CVF proceedings"
"SegFix: Model-Agnostic Boundary Refinement for Segmentation",2020,ECCV,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123570477.pdf,pure method,4,4,4,Risk,"Model-agnostic post-processing prior; boundary correction rather than missing-target completion","Official ECVA paper"
"ISNet: Shape Matters for Infrared Small Target Detection",2022,CVPR,https://openaccess.thecvf.com/content/CVPR2022/html/Zhang_ISNet_Shape_Matters_for_Infrared_Small_Target_Detection_CVPR_2022_paper.html,method + benchmark,4,5,5,A,"Strong shape-aware IRSTD method and IRSTD-1K benchmark reference","Official CVF proceedings with extensive benchmark evidence"
"One-Stage Cascade Refinement Networks for Infrared Small Target Detection",2023,"IEEE TGRS / arXiv",https://arxiv.org/abs/2212.08472,method + benchmark,4,5,4,Risk,"Internal IRSTD cascade refinement and SIRST-V2; not an external frozen-base plugin","Stable arXiv record linked to IEEE TGRS publication"
"SegRefiner: Towards Model-Agnostic Segmentation Refinement with Discrete Diffusion Process",2023,NeurIPS,https://papers.neurips.cc/paper_files/paper/2023/hash/fc0cc55dca3d791c4a0bb2d8ddeefe4f-Abstract-Conference.html,pure method,5,5,5,Risk,"Strong model-agnostic coarse-mask refiner; central generic-refinement baseline","Official NeurIPS proceedings with multi-task evaluation"
"Mask Frozen-DETR: High Quality Instance Segmentation with One GPU",2023,"CoRR / arXiv preprint",https://arxiv.org/abs/2308.03747,pure method,4,3,4,B,"Frozen detector plus lightweight mask network precedent","Stable preprint; not treated as an accepted conference paper"
"Infrared Small Target Detection with Scale and Location Sensitivity",2024,CVPR,https://openaccess.thecvf.com/content/CVPR2024/html/Liu_Infrared_Small_Target_Detection_with_Scale_and_Location_Sensitivity_CVPR_2024_paper.html,pure method,5,5,5,Risk,"Cross-detector IRSTD loss and MSHNet baseline; no post-frozen-detector correction","Official CVF proceedings; extensive generalization evidence"
"Mitigate Target-level Insensitivity of Infrared Small Target Detection via Posterior Distribution Modeling",2024,"CoRR / arXiv preprint",https://arxiv.org/abs/2403.08380,pure method,5,3,4,Risk,"Closest target-level-insensitivity problem framing; generative posterior mechanism","Stable preprint with code; venue status not upgraded beyond arXiv"
"Unleashing the Power of Generic Segmentation Model: A Simple Baseline for Infrared Small Target Detection",2024,"ACM MM Poster / OpenReview",https://openreview.net/forum?id=4fZSVT4hSK,pure method,4,4,4,Risk,"Generic segmentation transfer and lightweight IRSTD baseline; not correction learning","OpenReview record identifies ACM MM 2024 Poster"
"SAMRefiner: Taming Segment Anything Model for Universal Mask Refinement",2025,ICLR,https://proceedings.iclr.cc/paper_files/paper/2025/hash/90800f46f84381b7891e1378ee850013-Abstract-Conference.html,pure method,5,5,5,Risk,"Universal coarse-mask refinement makes generic-refiner novelty unsafe","Official ICLR proceedings with broad settings"
"RNCA: Self-Repairing Segmentation Masks",2026,"MIDL / PMLR",https://proceedings.mlr.press/v315/silbernagel26a.html,pure method,5,5,5,Risk,"Image-conditioned repair across base models using imperfect masks and synthetic corruption; close structural prior","Official PMLR proceedings with multi-task and topology evidence"
"Seeing Through the Noise: Improving Infrared Small Target Detection and Segmentation from Noise Suppression Perspective",2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Yuan_Seeing_Through_the_Noise_Improving_Infrared_Small_Target_Detection_and_CVPR_2026_paper.html,pure method,4,5,5,Risk,"Lightweight plug-in IRSTD feature module explicitly reducing false alarms","Official CVF proceedings; very recent accepted paper"
"Boosting Infrared Small Target Detection via Logit-Domain Contrast and Adaptive Shape Refinement",2026,arXiv preprint,https://arxiv.org/abs/2607.01555,pure method,4,3,3,Risk,"Very recent plug-and-play cross-backbone logit/shape/false-alarm loss; no paired intervention","Stable but very recent preprint; claims require independent follow-up"
